Product_Title,Price,Shop_Name,URL,Image_Url,Product_Code,Category_Id
A4 TECH KR-92 BLACK USB KEYBOARD WITH BANGLA,550.00,DOLPHIN,https://dolphin.computer/products/a4-tech-kr-92-black-usb-keyboard-with-bangla,https://dolphin.computer/storage/media/P9I0gPAokyHTL8RLCCdIXUQdlr03UeLakhMKzyzt.jpeg,1,2
RAPOO 8000 WIRELESS KEYBOARD & MOUSE COMBO WITH BANGLA,1450.00,DOLPHIN,https://dolphin.computer/products/rapoo-8000-wireless-keyboard-mouse-combo-with-bangla,https://dolphin.computer/storage/media/cwWVKkfGtqkRfJERjExh6nkGwhqmA8dBo52dI8Cd.jpeg,1,2
A4 TECH KR-83 BLACK USB KEYBOARD WITH BANGLA,500.00,DOLPHIN,https://dolphin.computer/products/a4-tech-kr-83-black-usb-keyboard-with-bangla,https://dolphin.computer/storage/media/an9ExkjbrUF8wIv4ZiLJwJuqEXcjF7eM6RWYFN2u.jpeg,1,2
A4 TECH KLS-5 X-SLIM BLACK USB MULTIMEDIA KEYBOARD WITH BANGLA,650.00,DOLPHIN,https://dolphin.computer/products/a4-tech-kls-5-x-slim-black-usb-multimedia-keyboard-with-bangla,https://dolphin.computer/storage/media/z2ZhlG7zoMTTNC8w9uyEui4Ne4dBXaXVuKOG6Dbg.jpeg,1,2
ASUS VG245H FHD 1MS G2G RESPONSE 24 INCH GAMING MONITOR,21000.00,DOLPHIN,https://dolphin.computer/products/asus-vg245h-fhd-1ms-g2g-response-24-inch-gaming-monitor,https://dolphin.computer/storage/media/QvH9x5ADsONz8EZWBVIpR81PcEnnH3otMdpVmSWV.jpeg,1,4
ASUS ROG STRIX XG27VQ 27 INCH FHD CURVED GAMING MONITOR,52700.00,DOLPHIN,https://dolphin.computer/products/asus-rog-strix-xg27vq-27-inch-fhd-curved-gaming-monitor,https://dolphin.computer/storage/media/As32K2qvCf7vLxOGFKxiPZgtvosbh9qcXU6ev3aD.jpeg,1,4
GIGABYTE AORUS AD27QD 27 INCH 2.5K GAMING MONITOR,55000.00,DOLPHIN,https://dolphin.computer/products/gigabyte-aorus-ad27qd-27-inch-2.5k-gaming-monitor,https://dolphin.computer/storage/media/Ue2yGbOcjEDatvm5pmR84ma4CUf6pAJlBovIYN2T.jpeg,1,4
ASUS PB27UQ 27 INCH PROFESSIONAL 4K UHD MONITOR,72500.00,DOLPHIN,https://dolphin.computer/products/asus-pb27uq-27-inch-professional-4k-uhd-monitor,https://dolphin.computer/storage/media/uRgtAm6M3F3xjnjaX5WkEv9p3MRteFgDtL4u9zI9.jpeg,1,4
ASUS VZ27VQ 27 INCH FHD (1920X1080) IPS PANEL EYE CARE ULTRA-SLIM FRAMELESS FLICKER FREE BLUE LIGHT FILTER CURVED MONITOR WITH 2X2W SPEAKER,32800,DOLPHIN,https://dolphin.computer/products/asus-vz27vq-27-inch-fhd-%281920x1080%29-ips-panel-eye-care-ultra-slim-frameless-flicker-free-blue-light-filter-curved-monitor-with-2x2w-speaker,https://dolphin.computer/storage/media/4QlmrVCes90ApWZT1VzD823N0fMeeGPfL3H7b2Ba.jpeg,1,4
ASUS VP278H 27 INCH FULL HD 1MS LOW BLUE LIGHT FLICKER FREE GAMING MONITOR,25500.00,DOLPHIN,https://dolphin.computer/products/asus-vp278h-27-inch-full-hd-1ms-low-blue-light-flicker-free-gaming-monitor,https://dolphin.computer/storage/media/Q74exOE1gjFnMe676IxAyVwTG1vA3eWklPn7wddF.jpeg,1,4
